"transactiondateutc","uniqueid","itinerary","first_element","last_element","onewayorreturn"
"2019-07-30 17:17:29.063000",d78affbe-d4b2-e911-a821-8111ee911e19,CAN-CZX-CDG-AMS-CAN-KOW-PEK-AMS-CDG,CAN,CDG,Return
"2019-11-03 00:46:58.860000","551f0349-bafd-e911-a822-e453a8e76766",DOH-DAR-DTW-BOS-DOH-DAR-DOH-BOS-DTW,DOH,DTW,Return
"2019-02-03 01:32:16.470000","6522655e-3a27-e911-a820-a7f2c9e35195",DVO-SIN-MAD-MUC-SIN-DVO-SIN-FRA-MAD,DVO,MAD,Return
"2019-07-10 18:10:05.890000","8b6de0cb-24a3-e911-a821-8111ee911e19",DVO-SIN-MAN-DUS-SIN-DVO-SIN-CDG-MAN,DVO,MAN,Return
"2019-03-04 22:03:49.877000",f6d5c33d-b03e-e911-a820-a7f2c9e35195,DXB-AKL-LGW-DXB-AKL-NSN-AKL-DXB-LHR,DXB,LHR,Return
"2019-08-23 15:57:29.233000",d1317e8f-a5c5-e911-a821-8111ee911e19,LLW-NBO-DUS-AMS-NBO-LLW-NBO-AMS-DUS,LLW,DUS,Return
"2019-08-27 22:00:43.547000",c0be30f2-fcc8-e911-a821-8111ee911e19,LLW-NBO-DUS-AMS-NBO-LLW-NBO-AMS-DUS,LLW,DUS,Return
"2019-10-18 10:26:26.953000","997f4b96-78f1-e911-a822-e453a8e76766",LUN-ADD-YYZ-YWG-YYZ-ADD-LUN-YYZ-YWG,LUN,YWG,Return
"2019-11-01 23:34:22.547000","6c851bfc-e6fc-e911-a822-e453a8e76766",MAN-ADD-ABZ-MAN-ADD-NSI-ADD-LHR-ABZ,MAN,ABZ,Return
"2019-02-12 00:22:32.580000",a681c023-432e-e911-a820-a7f2c9e35195,NBO-HRE-NCL-AMS-NBO-HRE-NBO-CDG-NCL,NBO,NCL,Return
"2019-12-17 19:13:38.423000","6cbb362d-e820-ea11-a822-e453a8e76766",NBO-NLA-DUS-AMS-NBO-LUN-NBO-AMS-DUS,NBO,DUS,Return
"2019-12-17 19:44:58.560000",bbb12d8b-ec20-ea11-a822-e453a8e76766,NBO-NLA-DUS-AMS-NBO-LUN-NBO-AMS-DUS,NBO,DUS,Return
"2019-12-17 20:01:13.313000","669c99d0-ee20-ea11-a822-e453a8e76766",NBO-NLA-DUS-AMS-NBO-LUN-NBO-AMS-DUS,NBO,DUS,Return
